rho	h_norm	relaxed_cost	greedy_cost	sharpness	entropy	cycles
0.25	6.335863823333435	2.946519524044311	2.285964931497402	0.8244674636034484	2.4890118646227313	[2, 2, 4]
0.5	5.927260754040117	3.522332614206811	3.1115405196075234	0.7564732536112757	2.796582503366546	[4, 4]
1.0	5.925201083122462	3.5260333955032586	3.1115405196075234	0.7545313506320597	2.7892955366717525	[4, 4]
2.0	5.924358354166531	3.5292606097059727	3.1115405196075234	0.7535505939571344	2.788990943915545	[4, 4]
5.0	5.913992939267922	3.5477544917814994	1000002.9586801217	0.752066178579568	2.915594781736573	[4, 1, 3]
10.0	0.07575505383555964	14.506873913098524	14.507142530463833	0.9988693680323146	0.08166529306190366	[8]
20.0	0.07594292918902368	14.508028760105583	14.507142530463833	0.9988760746402928	0.08055137012000232	[8]
50.0	0.06944913444238968	25.992843631268993	25.99309752024339	0.9989702990089537	0.07292052416094826	[8]
100.0	0.06794797354602128	25.993851480528498	25.99309752024339	0.9990007876540674	0.07024671699945444	[8]
200.0	0.06834002711069946	25.993703781042903	25.99309752024339	0.9989963486676936	0.07016247914387966	[8]
400.0	0.07505753733906144	26.026471748805186	26.020785038313758	0.998873961672825	0.07907976390310273	[8]
